id,name,english_name,japanese_name,score,genres,synopsis,type,episodes,aired,premiered,status,producers,licensors,studios,source,duration,rating,rank,popularity,favorites,members,image_url,watching,completed,on_hold,dropped,plan_to_watch,scored_by,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10
72,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,8.03,"Action, Comedy","Sergeant Sousuke Sagara returns to Jindai High School to protect the precious war asset, Kaname Chidori, from any threat. However, his lack of social skills and real-life experience result in comical yet dangerous situations, endangering the peaceful school life Kaname longs for. As Sousuke continues to bring a wide range of weapons to school as a means to solve threats—real or fake—Kaname struggles to fulfill her duty as the student council vice president all while keeping him in check. 

To ensure a successful mission, Sousuke is occasionally forced to use the costume of a famous amusement park mascot called Bonta-kun. With his technical expertise, he eventually transforms the exuberant uniform into a cutting-edge exoskeleton that has only one dysfunction: the voice translator can only produce the sound ""mofu."" 

Full Metal Panic? Fumoffu depicts the adventures of Kaname and Sousuke as they try to live their normal school lives despite the chaos they inadvertently cause.",TV,12,"Aug 26, 2003 to Nov 18, 2003",summer 2003,Finished Airing,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do","ADV Films, Funimation",Kyoto Animation,Light novel,24 min per ep,PG-13 - Teens 13 or older,572,794,2927,292355,https://cdn.myanimelist.net/images/anime/4/75260.jpg,7032,229466,5117,4272,46467,173326,209,240,503,1532,5115,13067,34913,51669,40211,25870
73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,7.92,Action,"After overcoming various tumultuous events, mercenary sergeant Sousuke Sagara of Mithril and ""Whispered"" school girl Kaname Chidori return to their normal high school lives. Sousuke continues his efforts to assimilate with the civilian population and manage his mission at the same time, while Kaname attempts to support his endeavors (even though his antics often drive her up a wall). 

However, as their lives calm, new problems begin to appear. The appearance of an independent terrorist organization  known as Amalgam and internal conflicts within Mithril threaten to wreak unity into a series of failures and betrayals. And new, powerful Arm Slave models only worsen the situation when the world's peace is at stake. 

As Kaname and Sousuke face their own inner battles amidst life-threatening fights, will they be able to make the right choices and change their future?",TV,13,"Jul 14, 2005 to Oct 20, 2005",summer 2005,Finished Airing,"WOWOW, Kadokawa Shoten, KlockWorx, Happinet Pictures","ADV Films, Funimation, Kadokawa Pictures USA",Kyoto Animation,Light novel,24 min per ep,R - 17+ (violence & profanity),716,898,1274,257768,https://cdn.myanimelist.net/images/anime/11/75261.jpg,5712,197944,4322,2663,47127,147040,176,133,289,938,3591,10852,34098,49962,31885,15116
74,Gakuen Alice,Gakuen Alice,学園アリス,7.64,"Comedy, Fantasy","Mikan Sakura is a normal 10-year-old girl. Optimistic, energetic, and overall a very sweet child, Mikan is the complete opposite of the aloof, intelligent, and somewhat cold-hearted, Hotaru Imai. Despite their glaring differences, the two girls have been best friends for a very long time. So when Hotaru suddenly transfers to Alice Academy, a prestigious school in the city, her best friend is devastated—especially when she hears of the horrible rumors regarding the academy's harsh treatment of students. Beset with worry, Mikan runs away to see her best friend!

Upon her arrival, Mikan learns of ""Alices,"" individuals gifted with various supernatural abilities, and that the school is an institution built by the government to train and protect them. Discovering that she has her own unique powers, Mikan enrolls in the academy, and, after a lot of trouble, finally reunites with Hotaru.

Gakuen Alice is a heartwarming comedy that follows Mikan and her friends' adventures in the academy, as well as their attempt to uncover the mysteries surrounding the problematic, fire-wielding student Natsume Hyuuga.",TV,26,"Oct 30, 2004 to May 14, 2005",fall 2004,Finished Airing,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,Manga,25 min per ep,G - All Ages,1331,2017,1413,98386,https://cdn.myanimelist.net/images/anime/4/18118.jpg,3227,68059,3286,3390,20423,50813,125,127,243,722,2783,6220,13132,12868,8047,6545
75,Soukyuu no Fafner: Dead Aggressor,Fafner,蒼穹のファフナーDead Aggressor,7.26,"Action, Drama, Sci-Fi","Tatsumiyajima is the central island in the middle of a small cluster of islands, in a sleepy backwater of the Japanese isles. Not much happens there, and the island's young people go to school knowing that their lives are likely to remain peaceful and undisturbed. Or so they have been taught... but the truth is different. The fate of mankind is on the line, and Tatsumiyajima is the last line of defense against a hostile and incomprehensible enemy. At the center of it all, fighting for Humanity's continued existence, is the giant robot Fafner, the dragon that guards this final treasure of mankind.

(Source: ANN)",TV,25,"Jul 5, 2004 to Dec 27, 2004",summer 2004,Finished Airing,"TV Tokyo Music, King Records","Funimation, Geneon Entertainment USA",Xebec,Original,24 min per ep,PG-13 - Teens 13 or older,2827,3070,263,47783,https://cdn.myanimelist.net/images/anime/3/50365.jpg,2749,18639,2109,2289,21992,14916,96,103,211,493,1112,2080,4291,3663,1836,1033
76,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,魔法少女リリカルなのは,7.41,"Action, Comedy, Drama, Fantasy","Nanoha Takamachi, an ordinary third-grader who enjoys spending time with her family and friends, rescues an injured ferret that she had dreamed about the night before. The next day, the ferret cries out to her telepathically, asking Nanoha to save him. The ferret reveals himself to be Yuuno Scrya, a mage from another world who is trying to collect the dangerous 21 Jewel Seeds that he accidentally scattered across the world. He enlists Nanoha's help, gifting her the magical wand Raising Heart, and teaches her how to become a powerful mage.

Days later, after reclaiming a few of the Jewel Seeds, another mage appears: Fate Testarossa. Stronger than Nanoha, Fate refuses to divulge her reasons in trying to collect the Jewel Seeds. Nanoha senses a melancholy in her eyes, but Fate refuses to communicate. Directed by Akiyuki Shinbo, Mahou Shoujo Lyrical Nanoha is a story about the clash of emotions when goals collide.",TV,13,"Oct 3, 2004 to Dec 26, 2004",fall 2004,Finished Airing,"Starchild Records, Omnibus Japan","Discotek Media, Geneon Entertainment USA",Seven Arcs,Original,25 min per ep,PG-13 - Teens 13 or older,2137,1960,1049,102253,https://cdn.myanimelist.net/images/anime/1052/136283.jpg,3978,53345,3235,3036,38654,41601,136,153,313,830,2607,5563,11966,10877,5468,3687
77,Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's,魔法少女リリカルなのは エース,7.97,"Action, Comedy, Drama, Fantasy","After solving the incident of the scattered Jewel Seeds, Nanoha Takamachi happily returns to her everyday life, though now with added magic practice in the morning. Exchanging video messages with Fate Testarossa and the crew of the Arthra, Nanoha eagerly awaits the chance to speak with them in person again. But while studying in her room one day, Raising Heart suddenly calls out to Nanoha and warns her of an incoming attack!

The attacker is a young girl named Vita, who calls herself a Belka Knight. She proves her strength by using an intelligent device with a mysterious cartridge system to quickly overwhelm Nanoha. Luckily, the Space-Time Administration Bureau is able to step in before she is completely crushed. Vita and her fellow knights Shamal, Signum, and Zafila are on a mission to steal magical power from mages in order to complete the Book of Darkness, one of the Lost Logia. For what sinister purpose are the knights after this Book of Darkness?",TV,13,"Oct 2, 2005 to Dec 25, 2005",fall 2005,Finished Airing,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min per ep,PG-13 - Teens 13 or older,654,2623,1017,64334,https://cdn.myanimelist.net/images/anime/4/6767.jpg,1776,44775,1210,988,15579,33396,95,65,98,296,976,2522,7073,10291,7261,4712
79,Shuffle!,Shuffle!,SHUFFLE! (シャッフル!),7.03,"Comedy, Drama, Fantasy, Romance, Ecchi","In present times, Gods and Demons coexist together with Humans after the door between each of these worlds had opened. Tsuchimi Rin is a normal young high school student attending Verbena Academy, spending his days living peacefully with his childhood friend Kaede. Unexpectedly, one day the King of Gods, the King of Demons and their families move into be Rin's next door neighbors. Apparently the daughter of the Gods, Sia, and the daughter of the demons, Nerine, are both deeply in love with Rin after having met him in the past. Along with his playful friendship with upperclassmen Asa and his encounter with the silent but cute Primula, Rin has much on his hands dealing with the affections of each of these girls. Based on the eroge by Navel.",TV,24,"Jul 8, 2005 to Jan 6, 2006",summer 2005,Finished Airing,"Xebec, Lantis, Kadokawa Shoten, KlockWorx, Memory-Tech",Funimation,asread.,Visual novel,24 min per ep,R+ - Mild Nudity,4006,839,1495,275812,https://cdn.myanimelist.net/images/anime/1290/133860.jpg,13538,169559,10796,15125,66787,134565,1349,1514,2543,5950,12220,21863,36112,28275,15148,9591
80,Kidou Senshi Gundam,Mobile Suit Gundam,機動戦士ガンダム,7.77,"Action, Drama, Sci-Fi","It is year 0079 of the Universal Century. Mankind has moved to space, living in colony clusters known as ""Sides."" One of these Sides declares itself the ""Principality of Zeon"" and declares war on the Earth Federation, the governmental body currently ruling Earth. Using powerful humanoid robots known as ""mobile suits,"" Zeon quickly gains the upper hand.

Nine months into the conflict, the Earth Federation has developed its own powerful mobile suit called the Gundam. When Zeon launches an attack on the colony holding the Gundam, a 15-year-old civilian named Amuro Ray suddenly finds himself thrown into a conflict that will take him all across Earth and space, pitting him against the enemy's ace pilot, Char Aznable.",TV,43,"Apr 7, 1979 to Jan 26, 1980",spring 1979,Finished Airing,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,25 min per ep,PG-13 - Teens 13 or older,1016,1651,2209,129889,https://cdn.myanimelist.net/images/anime/5/88524.jpg,11610,70004,7128,4046,37082,58426,148,103,236,654,2139,5533,15690,17124,9621,7188
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,Mobile Suit Gundam: The 08th MS Team,機動戦士ガンダム 第08MS小隊,8.01,"Adventure, Drama, Romance, Sci-Fi","In year 0079 of the Universal Century, the Earth Federation initiates Operation Odessa—a full-scale assault to retake a major Ukrainian city from the Principality of Zeon. It is a success, and the remaining Zeon forces scatter across the globe. The Earth Federation gains the upper hand in the One Year War and deploys its ground troops around the planet to hunt down the stragglers.
 
As part of the deployments, Ensign Shiro Amada is transferred to Southeast Asia to take command of the 08th MS Team—a special squadron of RX-79 Gundam Ground Type pilots. In their first guerilla operation, Shiro's team is tasked with distracting the Zeon forces while Federation ground troops locate a mysterious new Zeon weapon. Everything goes according to plan until Shiro runs into Aina Sahalin, an ace Zeon pilot he met in an earlier battle, during a skirmish. Their reunion weakens his resolve to continue fighting, and now the young commander Shiro must prove his loyalty to the Federation—or be branded a traitor.",OVA,12,"Jan 25, 1996 to Jul 25, 1999",,Finished Airing,Atelier Musa,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,25 min per ep,PG-13 - Teens 13 or older,594,2269,1091,81657,https://cdn.myanimelist.net/images/anime/9/75618.jpg,3495,56361,1818,1036,18936,45000,90,55,129,368,1064,2836,8829,15159,10990,5474
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Mobile Suit Gundam 0080: War in the Pocket,機動戦士ガンダム 0080 ポケットの中の戦争,7.97,"Drama, Sci-Fi","Alfred Izuruha is a 10-year-old who lives in the neutral colony cluster of Side 6 and, like most boys his age, is obsessed with the war between the Earth Federation and the Principality of Zeon. Unbeknownst to him, Al's next-door neighbor, Christina, is the test pilot of a prototype Gundam being developed in secret by the Earth Federation in the colony. A Zeon Special Forces team is assembled and tasked with infiltrating the colony in order to either steal or destroy it.

When a skirmish breaks out between the Federation and infiltrating Zeon forces, the fascinated Alfred stumbles upon a Zaku mobile suit that has been shot down, piloted by Zeon rookie Bernard ""Bernie"" Wiseman. After this encounter, the two start a mutual friendship, so Alfred can learn more about the war that interests him so much, and Bernie can acquire inside information about the colony to aid his team's mission.",OVA,6,"Mar 25, 1989 to Aug 25, 1989",,Finished Airing,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,27 min per ep,PG-13 - Teens 13 or older,651,2759,1010,58556,https://cdn.myanimelist.net/images/anime/1/82.jpg,1587,40745,743,505,14964,32281,68,47,104,305,903,2302,6684,10084,7249,4529
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Mobile Suit Gundam: The 08th MS Team - Miller's Report,機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,6.76,"Drama, Romance, Sci-Fi","Shortly after being rescued off the Himalayas, Federation Ensign Shiro Amada is accused of espionage due to his encounter with Zeon's top-secret mobile armor. Intelligence officer Alice Miller is assigned to investigate on Shiro's whereabouts during his disappearance. Her documented findings will determine whether or not Shiro is a traitor, and what his fate will be as commander of the 08th MS Team.

(Source: ANN)",Movie,1,"Aug 1, 1998",,Finished Airing,"Sotsu, Atelier Musa","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,52 min,PG-13 - Teens 13 or older,5195,5476,4,13509,https://cdn.myanimelist.net/images/anime/1132/100198.jpg,227,9688,169,191,3233,6733,31,37,82,243,737,1543,2054,1193,494,319
84,Kidou Senshi Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083: Stardust Memory,機動戦士ガンダム0083 STARDUST MEMORY,7.24,"Adventure, Drama, Romance, Sci-Fi","It is the year 0083 of the Universal Century. The rebellious Principality of Zeon has been defeated in the One Year War by the Earth Federation. However, a faction of Zeon remnants led by Aguille Delaz fled from the final battle, hiding themselves away. After three long years, they attempt to rise up once more, sending Delaz's ace pilot, Anavel Gato, to infiltrate a Federation research base to steal one of two secretly developed prototype Gundams along with its deadly nuclear warhead.

Threatened by the rogue Gundam suit and seeking to retain peace, the Earth Federation mobilizes the newly developed Albion carrier to recover the stolen unit. Manned by the remaining test pilots, with rookie pilot Kou Uraki piloting the remaining prototype Gundam, the Albion and her crew are determined to stop Gato, retake the stolen Gundam, and prevent the Zeon remnants from starting another war.",OVA,13,"May 23, 1991 to Sep 24, 1992",,Finished Airing,Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,28 min per ep,PG-13 - Teens 13 or older,2920,3218,253,43792,https://cdn.myanimelist.net/images/anime/13/26654.jpg,1524,31502,882,586,9289,24580,71,98,252,701,1569,3430,7207,6650,3142,1460
85,Kidou Senshi Zeta Gundam,Mobile Suit Zeta Gundam,機動戦士Ζガンダム,7.9,"Drama, Romance, Sci-Fi","It is Universal Century 0087, and the One Year War between the Earth Federation and Principality of Zeon is over. The Earth Federation has created an elite task force, known as the Titans, who are responsible for hunting the remaining Zeon forces. However, the power-hungry Titans have shown themselves to be no better than Zeon, spurring the creation of a rebellious faction called the Anti-Earth Union Group (AEUG).
 
17-year-old Kamille Bidan lives in the colony Green Noa, home to a Titan base. Kamille gets in trouble after assaulting a Titan officer, an event that coincides with an attack led by former Zeon ace Char Aznable, now known as AEUG pilot Quattro Bajeena. When Kamille steals a Titan's prototype Gundam, he soon finds himself in the middle of the dangerous conflict.",TV,50,"Mar 2, 1985 to Feb 22, 1986",spring 1985,Finished Airing,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,742,2432,2191,72757,https://cdn.myanimelist.net/images/anime/6/11153.jpg,6014,44522,3377,1391,17431,37016,280,114,222,562,1225,2920,7560,10756,7699,5669
86,Kidou Senshi Gundam ZZ,Mobile Suit Gundam ZZ,機動戦士ガンダムZZ,6.69,"Comedy, Drama, Sci-Fi","In Universal Century 0088, the Anti-Earth Union Group (AEUG) has emerged victorious in its war with the Earth Federation's Titans at the cost of devastating losses. Neo-Zeon, the third faction in the war formerly known as Axis Zeon, remains as powerful as ever. Led by Newtype Haman Karn, Neo-Zeon has been implementing plans to take over both Earth and the space colonies.

The AEUG flagship Argama heads to the Side 1 colony Shangri-La for repairs. Living in the colony is Judau Ashta, a 14-year-old junk dealer who is struggling to make enough money to put his younger sister through school. Upon the discovery of an escape pod containing a former Titans pilot, Judau and his friends are quickly led to the Argama in hopes of stealing a mobile suit which they can sell for a fortune. However, with the arrival of a Neo-Zeon ship seeking to defeat the Argama, Judau and his friends are dragged into to a conflict that will bring them across space and Earth.",TV,47,"Mar 1, 1986 to Jan 31, 1987",spring 1986,Finished Airing,"Sotsu, Nagoya Broadcasting Network",Nozomi Entertainment,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,5598,3302,200,41964,https://cdn.myanimelist.net/images/anime/1848/91078.jpg,2527,25436,1688,1201,11104,20720,170,231,530,1245,2173,4140,6071,3682,1397,1077
87,Kidou Senshi Gundam: Gyakushuu no Char,Mobile Suit Gundam: Char's Counterattack,機動戦士ガンダム 逆襲のシャア,7.66,"Drama, Sci-Fi","The year is Universal Century 0093. Char Aznable has taken command of Neo Zeon, the rebels of outer space. He firmly believes that humankind can only achieve peace by relocating to space. Thus, he plans to crash the giant asteroid Axis into Earth and plunge the planet into an uninhabitable winter. Char also eagerly anticipates this opportunity to settle a 14-year rivalry with Amuro Ray. The two have been reluctant allies at times, but Char has never forgiven Amuro for causing the death of one of his comrades during the One Year War.

Only the Earth Federation's Londo Bell Unit has the power to stop Char from fulfilling his dangerous goal. Leading the defense of Earth is veteran captain Bright Noa and Amuro Ray with the latest Nu Gundam mobile suit. In this thrilling conclusion to the original Gundam series, Londo Bell engages in a final conflict with Neo Zeon that will decide the fate of Earth and end this long-standing rivalry—once and for all.",Movie,1,"Mar 12, 1988",,Finished Airing,"Sotsu, Nozomi Entertainment, Atelier Musa",Bandai Entertainment,Sunrise,Novel,1 hr 59 min,PG-13 - Teens 13 or older,1266,3048,444,48514,https://cdn.myanimelist.net/images/anime/1523/92371.jpg,830,36954,349,244,10123,28602,113,87,211,537,1158,2703,6937,8506,4958,3381
88,Kidou Senshi Gundam F91,Mobile Suit Gundam F91,機動戦士ガンダムＦ91,6.61,"Drama, Sci-Fi","In the year 123 of the Universal Century, skirmishes between the Federation government and the rebel group Crossbones Vanguard echo across Earth's space colonies. One of these small battles breaks in the hometown of young Seabook Arno, forcing him and his friends to flee and ensnaring them in the political turmoil that is quickly evolving into an all-out war.

Seabook meets Cecily Fairchild, granddaughter of the aristocrat Meitzer Ronah, who seeks to create a new political power called ""Cosmo Babylonia."" Using the Crossbone Vanguard as its muscle, the Ronah family schemes to restore aristocratic rule and establish an economic system that will benefit the nobility, thus devastating the quality of life for the common people of the Earth Sphere.

Seabook is tasked with piloting the Gundam F91, a mobile suit created by his mother, and must choose between protecting the Federation's status quo or cooperating with Cecily to find a better way of life for all.",Movie,1,"Mar 16, 1991",,Finished Airing,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,2 hr,PG-13 - Teens 13 or older,5991,3829,83,31500,https://cdn.myanimelist.net/images/anime/1637/95288.jpg,674,22409,311,262,7838,17122,71,131,311,926,2079,3941,5082,2800,1095,685
89,Kidou Senshi Victory Gundam,Mobile Suit Victory Gundam,機動戦士Vガンダム,6.78,"Drama, Sci-Fi","In the year 153 of the Universal Century, the tyrannical Zanscare Empire has taken hostile control over Side 2, a space colony outside of Earth's orbit. Following in the footsteps of the long expired Principality of Zeon and the more recent Crossbone Vanguard, Zanscare rules over its subjects with cruelty, routinely using a large guillotine for public executions.

Living in Central Europe, space immigrant Üso Ewin joins the League Militaire, a militia made up of civilians frustrated with the Earth Federation's inability to combat the Zanscare Empire. Üso's latent abilities as a psychic Newtype awaken and allow him to pilot the Victory Gundam, the only mobile suit capable of holding off the elite BESPA forces of the Zanscare Empire.

Hoping to protect his best friend Shakti Kareen and locate his parents within the ranks of the Federation, Üso fights on with the Victory, striving to bring an end to the empire's reign.",TV,51,"Apr 2, 1993 to Mar 25, 1994",spring 1993,Finished Airing,"TV Asahi, Sotsu, Apollon",Nozomi Entertainment,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,5107,4087,154,27255,https://cdn.myanimelist.net/images/anime/1913/102693.jpg,1720,13388,1361,792,9994,10774,132,130,300,654,1063,1898,2936,1973,894,794
90,Shin Kidou Senki Gundam Wing,Mobile Suit Gundam Wing,新機動戦記ガンダムW,7.68,"Action, Drama, Sci-Fi","The United Earth Sphere Alliance is a powerful military organization that has ruled over Earth and space colonies with an iron fist for several decades. When the colonies proclaimed their opposition to this, their leader was assassinated. Now, in the year After Colony 195, bitter colonial rebels have launched ""Operation Meteor,"" sending five powerful mobile suits to Earth for vengeance. Built out of virtually indestructible material called Gundanium Alloy, these ""Gundams"" begin an assault against the Alliance and its sub organization OZ.

One Gundam, whose pilot has taken the name of the slain colony leader Heero Yuy, is forced to make a crash landing into the ocean after an atmospheric battle against OZ's ace pilot Zechs Marquise. Upon coming ashore, he is found by Relena Peacecraft, daughter of a peace-seeking politician, who witnesses Heero's descent to Earth. Although neither of them realize it yet, this encounter will have a profound impact on both their lives, as well as those on Earth and in space colonies.",TV,49,"Apr 7, 1995 to Mar 29, 1996",spring 1995,Finished Airing,TV Asahi,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,1234,1417,2350,157744,https://cdn.myanimelist.net/images/anime/1884/114414.jpg,7910,110193,7053,5199,27374,88504,231,253,629,1801,4110,9047,21627,24535,15116,11172
91,Shin Kidou Senki Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing: Endless Waltz,新機動戦記ガンダムW エンドレス・ワルツ,7.73,"Action, Award Winning, Drama, Sci-Fi","In the year After Colony 196, one year after the conclusion of the intergalactic civil war, a state of stasis prevails over the Earth and its colonies. Seeing no further use for their Gundam mobile suits, war heroes Duo Maxwell, Heero Yuy, Trowa Barton, and Quatre Raberba Winner decide to destroy these weapons by launching them into the sun's surface. 

Before the Gundam reach their destination, the universal peace is shattered by the emergence of Mariemaia Khushrenada—the only child of the former tyrannical aristocrat Treize. Mariemaia abducts diplomat Relena Peacecraft and announces plans to launch ""Operation Meteor,"" with the intention of posthumously fulfilling Treize's world domination plot.

With the help of former enemy Zechs Marquise and his mobile suit Tallgeese, the heroic pilots must reacquire their mobile suits to wage one final battle against the Khushrenada dynasty, including fighting against their former ally Wufei Chang, now aligning himself with Mariemaia's ambitions.",OVA,3,"Jan 25, 1997 to Jul 25, 1997",,Finished Airing,"Bandai Visual, Sotsu",Bandai Entertainment,Sunrise,Original,30 min per ep,PG-13 - Teens 13 or older,1105,3072,178,47762,https://cdn.myanimelist.net/images/anime/1061/97444.jpg,755,39269,369,320,7056,27329,63,67,149,357,1069,2575,6632,7928,4973,3524
92,Kidou Shinseiki Gundam X,After War Gundam X,機動新世紀ガンダムX,7.34,"Adventure, Drama, Sci-Fi","When one space colony declared its independence from the Earth Federation, the devastating 7th Space War, an all-out war between Earth and space, resulted. The Federation responded to the Space Revolutionary Army with mobile suits, called Gundams. However, the Space Revolutionary forces played their trump card and dropped hundreds of space colonies onto the Earth, plunging the planet into a seven-year-long nuclear winter. The Federation collapsed, but the Space Revolutionary Army was unable to invade the Earth in the aftermath of the colony drop.

Fifteen years have passed. The year is now After War 0015, and a New Federation has sprung up on Earth to restore order. In space, the colonial leaders have been rebuilding their own forces as well. By chance, fifteen-year-old Garrod Ran has discovered an old Federation mobile suit, the Gundam X, and now he uses it to help out the Vulture ship Freeden in its struggle to keep the powers that be from repeating the mistakes of the past.",TV,39,"Apr 5, 1996 to Dec 28, 1996",spring 1996,Finished Airing,"TV Asahi, Sotsu",Nozomi Entertainment,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,2411,3609,219,35508,https://cdn.myanimelist.net/images/anime/10/16054.jpg,2043,19406,1973,1216,10869,15623,54,52,112,361,958,2174,4810,4077,1947,1077
93,Kidou Senshi Gundam SEED,Mobile Suit Gundam SEED,機動戦士ガンダムSEED,7.74,"Action, Award Winning, Drama, Romance, Sci-Fi","In the year Cosmic Era 0071, the space colony Heliopolis remains neutral in the great war raging across the galaxy between Coordinators, human beings whose biological traits have been altered before birth, and Naturals, unaltered people who remain on the planet Earth. The Naturals' deep hatred of the Coordinators drove the advanced beings into space, seeking shelter in man-made colonies.

Kira Yamato is a Coordinator and university student on Heliopolis, when his life is thrown into disarray as ZAFT, the military organization composed of rebellious Coordinators, attacks the colony in an effort to steal a set of five state-of-the-art military mobile suits known as Gundams.

While ZAFT manages to make off with four of the mobile suits, Kira take control of the final Gundam, the Strike. Surviving the battle, Kira and his college friends join the crew of the Archangel, a ship run by the Earth Alliance, and the young soldiers experience the horrors of war and the loss that comes with it.",TV,50,"Oct 5, 2002 to Sep 27, 2003",fall 2002,Finished Airing,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa","Nozomi Entertainment, Bandai Entertainment, NYAV Post",Sunrise,Original,24 min per ep,R - 17+ (violence & profanity),1085,1349,3472,167104,https://cdn.myanimelist.net/images/anime/1792/91081.jpg,6808,117795,5213,5707,31559,93875,474,462,865,1971,4286,8900,21099,25881,17499,12464
94,Kidou Senshi Gundam SEED Destiny,Mobile Suit Gundam SEED Destiny,機動戦士ガンダムSEED DESTINY,7.18,"Action, Drama, Romance, Sci-Fi","In the year Cosmic Era 0071, a wartime brawl between two mobile suits results in the destruction of a neutral country. Shinn Asuka finds his entire family killed as casualties of the violence, and swears his life toward a vengeful pursuit of the Earth's Natural forces, under the impression they were the ones responsible for his family's death. Shinn works his way up through the ZAFT military forces, eventually gaining access to the cockpit of the prototype Impulse mobile suit.

Athrun Zala, a veteran of the recent war employed in the service of diplomat Cagalli Yula Athha, finds himself drawn into a new conflict between the Naturals and the Coordinators: human beings artificially enhanced before birth and hated by the Naturals for their biological advantages.

As the new war rears its head and violence becomes inevitable, Athrun finds himself as a mentor to the bitter Shinn. Athrun must steer the young pilot towards a mindset of mercy before his rage and desire for vengeance consumes him.",TV,50,"Oct 9, 2004 to Oct 1, 2005",fall 2004,Finished Airing,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment","Nozomi Entertainment, Bandai Entertainment, NYAV Post",Sunrise,Original,24 min per ep,R - 17+ (violence & profanity),3243,1925,1064,105659,https://cdn.myanimelist.net/images/anime/1700/91080.jpg,3105,81533,2547,3125,15337,63899,692,979,1478,3162,4487,8224,15115,14278,8925,6569
95,Turn A Gundam,∀ Gundam,∀ガンダム,7.76,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi","It is the Correct Century, two millennia after a devastating conflict which left the world broken. Earth is now mostly uninhabitable, and thus a remnant of humanity has resided on the Moon while the Earth and its few survivors recover. For years, the ""Moonrace,"" the people of the Moon, have continued to check if Earth is fit for resettlement.

A boy named Loran Cehack and two others are sent down to Earth for a reconnaissance mission. Loran ends up spending a year on the planet working for the Heim Family, aristocrats living in a Victorian-like society. This family, like others of similar wealthy status, celebrates one's coming of age with a ceremony involving a giant stone statue known as the ""White Doll.""

To Loran's surprise, the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack, the White Doll is broken apart, revealing a mobile suit called the ""Turn A Gundam"" inside. With Loran in its cockpit, the Turn A causes a standoff between the forces of Earth and Moon. The young pilot, along with the people of both sides, must keep the peace and avoid another all-out, catastrophic war.",TV,50,"Apr 9, 1999 to Apr 14, 2000",spring 1999,Finished Airing,"Sotsu, Fuji TV, Nakamura Production",Nozomi Entertainment,Sunrise,Original,24 min per ep,PG-13 - Teens 13 or older,1039,3104,1008,46915,https://cdn.myanimelist.net/images/anime/4/78330.jpg,3337,19189,2792,1792,19787,16528,106,102,155,371,861,1755,3646,4015,2863,2646
